id,name,team,age,height,games,points,rebounds,assists
1143,Travis Knight,LAL,24,213.36,37,4.2,3.5,0.8
1144,Travis Williams,CHH,30,198.12,8,1.9,2.4,0.3
1145,Trevor Winter,MIN,25,213.36,1,0,3,0
1146,Troy Hudson,LAC,23,185.42,25,6.8,2.2,3.7
1147,Tyrone Corbin,ATL,36,198.12,47,7.5,3.1,0.9
1148,Tyrone Hill,PHI,31,205.74,38,8.6,7.6,0.9
1149,Tyrone Nesby,LAC,23,198.12,50,10.1,3.5,1.6
1150,Tyronn Lue,LAL,22,182.88,15,5,0.3,1.7
1151,Tyson Wheeler,DEN,23,177.8,1,4,0,2
1152,Vernon Maxwell,SAC,33,193.04,46,10.7,1.8,1.7
1153,Tracy McGrady,TOR,20,203.2,49,9.3,5.7,2.3
1154,Vin Baker,SEA,27,210.82,34,13.8,6.2,1.6
1155,Vinny Del Negro,MIL,32,193.04,48,5.9,2.1,3.6
1156,Vitaly Potapenko,BOS,24,208.28,50,10,6.6,1.5
1157,Vlade Divac,SAC,31,215.9,50,14.3,10,4.3
1158,Vladimir Stepania,SEA,23,213.36,23,5.5,3.3,0.5
1159,Voshon Lenard,MIA,26,193.04,12,6.8,1.3,0.8
1160,Walt Williams,POR,29,203.2,48,9.3,3,1.7
1161,Walter McCarty,BOS,25,208.28,32,5.7,3.6,1.3
1162,Wesley Person,CLE,28,198.12,45,11.2,3.2,1.8
1163,Will Perdue,SAS,33,213.36,37,2.4,3.7,0.5
1164,William Cunningham,NJN,25,210.82,16,0.4,1.8,0.1
1165,Willie Burton,CHH,31,203.2,3,1.3,2,0
1166,Zydrunas Ilgauskas,CLE,24,220.98,5,15.2,8.8,0.8
1167,Vince Carter,TOR,22,200.66,50,18.3,5.7,3
1168,Shawn Respert,PHX,27,185.42,12,3.1,1.1,0.7
1169,Tony Massenburg,VAN,31,205.74,43,11.2,6,0.5
1170,Tony Battie,BOS,23,210.82,50,6.7,6,1.1
1171,Stacey Augmon,POR,30,203.2,48,4.3,2.6,1.2
1172,Stanley Roberts,HOU,29,213.36,6,2.3,1.8,0
1173,Stephon Marbury,NJN,22,187.96,49,21.3,2.9,8.9
1174,Steve Henson,DET,31,180.34,4,1,0,0.8
1175,Steve Kerr,SAS,33,190.5,44,4.4,1,1.1
1176,Steve Nash,DAL,25,190.5,40,7.9,2.9,5.5
1177,Steven Smith,ATL,30,203.2,36,18.7,4.2,3.3
1178,Stojko Vrankovic,LAC,35,218.44,2,1,3,0
1179,Tariq Abdul-Wahad,SAC,24,198.12,49,9.3,3.8,1
1180,Terrell Brandon,MIN,29,180.34,36,13.9,3.7,8.6
1181,Terry Cummings,GSW,38,205.74,50,9.1,5.1,1.2
1182,Terry Davis,WAS,32,205.74,37,3.4,3.8,0.3
1183,Tony Delk,GSW,25,187.96,36,6.8,1.5,2.6
1184,Terry Dehere,VAN,27,193.04,26,3.2,0.9,1
1185,Terry Porter,MIA,36,190.5,50,10.5,2.8,2.9
1186,Theo Ratliff,PHI,26,208.28,50,11.2,8.1,0.6
1187,Thurl Bailey,UTA,38,210.82,43,4.2,2.2,0.6
1188,Tim Duncan,SAS,23,213.36,50,21.7,11.4,2.4
1189,Tim Hardaway,MIA,32,182.88,48,17.4,3.2,7.3
1190,Tim Legler,WAS,32,193.04,30,4,1.3,0.7
1191,Tim Thomas,MIL,22,208.28,50,7.2,2.5,0.9
1192,Toby Bailey,PHX,23,198.12,27,2.9,2,0.5
1193,Todd Fuller,UTA,24,210.82,42,3.4,2.4,0.1
1194,Tom Gugliotta,PHX,29,208.28,43,17,8.9,2.8
1195,Tom Hammonds,MIN,32,205.74,49,4.3,2.8,0.4
1196,Toni Kukoc,CHI,30,210.82,44,18.8,7,5.3
1197,Terry Mills,MIA,31,208.28,1,9,4,0
1198,Otis Thorpe,WAS,36,208.28,49,11.3,6.8,2.1
1199,Shammond Williams,ATL,24,185.42,2,1.5,0,0.5
1200,Oliver Miller,SAC,29,205.74,4,2.5,2,0
1201,John Stockton,UTA,37,185.42,50,11.1,2.9,7.5
1202,John Thomas,TOR,23,205.74,39,4.3,3.4,0.4
1203,John Wallace,TOR,25,205.74,48,8.6,3.6,1
1204,Johnny Newman,CLE,35,200.66,50,6.1,1.5,0.8
1205,Johnny Taylor,DEN,25,205.74,36,5.8,2.8,0.7
1206,Jon Barry,SAC,29,195.58,43,5,2.2,2.6
1207,Jonathan Kerner,ORL,25,210.82,1,0,0,0
1208,Jud Buechler,DET,31,198.12,50,5.5,2.7,1.1
1209,Othella Harrington,HOU,25,205.74,41,9.8,6,0.4
1210,Juwan Howard,WAS,26,205.74,36,19,8.2,3
1211,Karl Malone,UTA,35,205.74,49,23.8,9.4,4.1
1212,Keith Askins,MIA,31,203.2,33,1.6,1.3,0.3
1213,John Starks,GSW,33,195.58,50,13.8,3.3,4.7
1214,Keith Booth,CHI,24,198.12,39,3.1,2.4,1
1215,Keith Van Horn,NJN,23,208.28,42,21.8,8.5,1.5
1216,Kelly McCarty,DEN,23,200.66,2,2,1.5,0
1217,Kendall Gill,NJN,31,195.58,50,11.7,4.9,2.4
1218,Kenny Anderson,BOS,28,185.42,34,12.1,3,5.7
1219,Keon Clark,DEN,24,210.82,28,3.3,3.4,0.4
1220,Kerry Kittles,NJN,25,195.58,46,12.9,4.2,2.5
1221,Kevin Garnett,MIN,23,210.82,47,20.8,10.4,4.3
1222,Kevin Ollie,ORL,26,193.04,8,1.6,0.9,0.4
1223,Kevin Willis,TOR,36,213.36,42,12,8.3,1.6
1224,Khalid Reeves,DET,26,190.5,11,2.3,0.6,1
1225,Kobe Bryant,LAL,20,200.66,50,19.9,5.3,3.8
1226,Korleone Young,DET,20,200.66,3,4.3,1.3,0.3
1227,Keith Closs,LAC,23,220.98,15,2.1,1.7,0
1228,Kornel David,CHI,27,205.74,50,6.2,3.5,0.8
1229,John Crotty,SEA,29,187.96,27,5.9,1.1,2.3
1230,Joe Wolf,CHH,34,210.82,3,0,0.3,0
1231,James Cotton,SEA,23,195.58,10,2.5,1,0
1232,James Robinson,MIN,28,187.96,31,5.9,2,1.8
1233,Jamie Feick,NJN,24,203.2,28,6.3,10.3,0.9
1234,Jamie Watson,MIA,27,200.66,3,0.7,0.3,0.3
1235,Jaren Jackson,SAS,31,198.12,47,6.4,2.1,1
1236,Jason Caffey,GSW,26,203.2,35,8.8,5.9,0.5
1237,Jason Kidd,PHX,26,193.04,50,16.9,6.8,10.8
1238,Jason Sasser,VAN,25,200.66,6,1.8,1.2,0.3
1239,Jason Williams,SAC,23,185.42,50,12.8,3.1,6
1240,Jayson Williams,NJN,31,205.74,30,8.1,12,1.1
1241,Jeff Hornacek,UTA,36,193.04,48,12.2,3.3,4
1242,Jeff McInnis,WAS,24,193.04,35,3.7,0.6,2.1
1243,John Coker,WAS,27,213.36,14,2.2,1.6,0
1244,Jeff Sheppard,ATL,24,190.5,17,2.4,1.3,0.9
1245,Jerald Honeycutt,PHI,24,205.74,16,1.9,0.8,0.2
1246,Jermaine O'Neal,POR,20,210.82,36,2.5,2.7,0.4
1247,Jerome James,SAC,23,215.9,16,1.5,1.1,0.1
1248,Jerome Kersey,SAS,37,200.66,45,3.2,2.9,0.9
1249,Jerome Williams,DET,26,205.74,50,7.1,7,0.5
1250,Jerry Stackhouse,DET,24,198.12,42,14.5,2.5,2.8
1251,Jim Jackson,POR,28,198.12,49,8.4,3.2,2.6
1252,Jim McIlvaine,NJN,26,215.9,22,2.2,2.5,0.1
1253,Jimmy Oliver,PHX,29,195.58,2,1.5,0,0
1254,Joe Dumars,DET,36,190.5,38,11.3,1.8,3.5
1255,Joe Kleine,PHX,37,213.36,31,2.2,2.2,0.4
1256,Joe Smith,MIN,23,208.28,43,13.7,8.2,1.6
1257,Jelani McCoy,SEA,21,208.28,26,5.1,3,0.2
1258,Kurt Thomas,NYK,26,205.74,50,8.1,5.7,1.1
1259,Scot Pollard,SAC,24,210.82,16,5.1,5.1,0.3
1260,Lamond Murray,LAC,26,200.66,50,12.2,3.9,1.2
1261,Mikki Moore,DET,23,213.36,2,2,0.5,0
1262,Mike Bibby,VAN,21,187.96,50,13.2,2.7,6.5
1263,Micheal Williams,TOR,32,187.96,2,1,0.5,0
1264,Michael Stewart,TOR,24,208.28,42,1.5,2.4,0.1
1265,Michael Smith,VAN,27,203.2,48,4.8,7.3,1
1266,Michael Olowokandi,LAC,24,213.36,45,8.9,7.9,0.6
1267,Michael Hawkins,SAC,26,182.88,24,1.5,1,1.1
1268,Michael Finley,DAL,26,200.66,50,20.2,5.3,4.4
1269,Michael Doleac,ORL,22,210.82,49,6.2,3,0.4
1270,Michael Dickerson,HOU,24,195.58,50,10.9,1.7,1.9
1271,Michael Curry,MIL,30,195.58,50,4.9,2.2,1.6
1272,Maurice Taylor,LAC,22,205.74,46,16.8,5.3,1.5
1273,Matt Maloney,HOU,27,190.5,15,1.4,0.7,1.4
1274,Matt Harpring,ORL,23,200.66,50,8.2,4.3,0.9
1275,Matt Bullard,HOU,32,208.28,41,2.9,1,0.4
1276,Marty Conlon,MIA,31,208.28,7,1.1,0.7,0.1
1277,Marlon Garnett,BOS,23,187.96,24,2.1,0.9,0.8
1278,Marko Milic,PHX,22,198.12,11,1.5,0.5,0.2
1279,Mark West,ATL,38,208.28,49,1.2,2.6,0.3
1280,Mark Strickland,MIA,28,208.28,32,3.7,2.4,0.3
1281,Mark Bryant,CHI,34,205.74,45,9,5.2,1.1
1282,Mark Pope,IND,26,208.28,4,0.5,1,0
1283,Mark Macon,DET,30,193.04,7,1.3,0.7,0.6
1284,Mark Jackson,IND,34,190.5,49,7.6,3.8,7.9
1285,Mark Hendrickson,NJN,25,205.74,22,5.5,3.1,0.6
1286,Mark Davis,MIA,26,200.66,4,2.3,1.8,0.3
1287,LaPhonso Ellis,ATL,29,203.2,20,10.2,5.5,0.9
1288,Miles Simon,ORL,23,190.5,5,0.4,0.4,0
1289,Mitch Richmond,WAS,33,195.58,50,19.7,3.4,2.4
1290,Matt Geiger,PHI,29,215.9,50,13.5,7.2,1.2
1291,Monty Williams,DEN,27,203.2,1,1,0,0
1292,Larry Hughes,PHI,20,195.58,50,9.1,3.8,1.5
1293,Mitchell Butler,CLE,28,195.58,31,5.4,1.4,0.7
1294,Larry Johnson,NYK,30,200.66,49,12,5.8,2.4
1295,Latrell Sprewell,NYK,28,195.58,37,16.4,4.2,2.5
1296,Lawrence Funderburke,SAC,28,205.74,47,8.9,4.7,0.6
1297,Lee Mayberry,VAN,29,185.42,9,2.2,0.3,2.6
1298,Lindsey Hunter,DET,28,187.96,49,11.9,3.4,3.9
1299,Litterial Green,CLE,29,185.42,1,0,0,0
1300,Lorenzen Wright,LAC,23,210.82,48,6.6,7.5,0.7
1301,Loy Vaught,DET,31,205.74,37,3.4,3.9,0.3
1302,Luc Longley,PHX,30,218.44,39,8.7,5.7,1.2
1303,Lucious Harris,NJN,28,195.58,36,5.4,1.9,0.9
1304,Malik Rose,SAS,24,200.66,47,6,3.9,0.6
1305,Loren Meyer,DEN,26,208.28,14,1.1,1.1,0.1
1306,Nick Anderson,ORL,31,198.12,47,14.9,5.9,1.9
1307,Mookie Blaylock,ATL,32,185.42,48,13.3,4.7,5.8
1308,Malik Sealy,MIN,29,203.2,31,8.1,3,1.2
1309,Muggsy Bogues,GSW,34,160.02,36,5.1,2,3.7
1310,Nazr Mohammed,PHI,21,208.28,26,1.6,1.4,0.1
1311,Negele Knight,TOR,32,185.42,6,1.3,1,1.3
1312,Nick Van Exel,DEN,27,185.42,50,16.5,2.3,7.4
1313,Moochie Norris,SEA,25,187.96,12,3.2,1.7,2
1314,Mark Baker,TOR,29,185.42,1,0,0,0
1315,Mario Elie,SAS,35,195.58,47,9.7,2.9,1.9
1316,Mario Bennett,CHI,25,198.12,3,2.3,1.7,0
1317,Marcus Camby,NYK,25,210.82,46,7.2,5.5,0.3
1318,Olden Polynice,SEA,34,213.36,48,7.7,8.9,0.9
1319,Michael Smith,WAS,28,203.2,46,6.3,7.2,1.2
1320,Michael Finley,DAL,27,200.66,82,22.6,6.3,5.3
1321,Michael Stewart,TOR,25,208.28,42,1.4,2.2,0.1
1322,Michael Ruffin,CHI,23,205.74,71,2.2,3.5,0.6
1323,Michael Olowokandi,LAC,25,213.36,80,9.8,8.2,0.5
1324,Michael Hawkins,CHH,27,182.88,12,0.7,0.6,1.1
1325,Maurice Taylor,LAC,23,205.74,62,17.1,6.5,1.6
1326,Metta World Peace,CHI,20,198.12,72,12,4.3,2.7
1327,Michael Dickerson,VAN,25,195.58,82,18.2,3.4,2.5
1328,Michael Curry,DET,31,195.58,82,6.2,1.3,1.1
1329,Michael Cage,NJN,38,205.74,20,1.4,4.1,0.5
1330,Mike Bibby,VAN,22,187.96,82,14.5,3.7,8.1
1331,Matt Maloney,CHI,28,190.5,51,6.4,1.3,2.7
1332,Michael Doleac,ORL,23,210.82,81,7,4.1,0.8
1333,Mikki Moore,DET,24,213.36,29,7.9,3.9,0.6
1334,Othella Harrington,VAN,26,205.74,82,13.1,6.9,1.2
1335,Mirsad Turkcan,MIL,24,205.74,17,1.9,1.9,0.3
1336,Jeff Hornacek,UTA,37,193.04,77,12.4,2.4,2.6
1337,Matt Harpring,ORL,24,200.66,4,4,3,2
1338,P.J. Brown,MIA,30,210.82,80,9.6,7.5,1.8
1339,Otis Thorpe,MIA,37,208.28,51,5.5,3.3,0.6
1340,Oliver Miller,PHX,30,205.74,51,6.3,5.1,1.3
1341,Olden Polynice,UTA,35,213.36,82,5.3,5.5,0.5
1342,Obinna Ekezie,VAN,24,205.74,39,3.2,2.4,0.2
1343,Nick Van Exel,DEN,28,185.42,79,16.1,3.9,9
1344,Nick Anderson,SAC,32,198.12,72,10.8,4.7,1.7
1345,Nazr Mohammed,PHI,22,208.28,28,1.9,1.8,0.1
1346,Muggsy Bogues,TOR,35,160.02,80,5.1,1.7,3.7
1347,Mookie Blaylock,GSW,33,185.42,73,11.3,3.7,6.7
1348,Moochie Norris,HOU,26,185.42,30,6.9,2.3,3.1
1349,Monty Williams,ORL,28,203.2,75,8.7,3.3,1.4
1350,Mitch Richmond,WAS,35,195.58,74,17.4,2.9,2.5
1351,Milt Palacio,VAN,22,190.5,53,2,1,0.9
1352,Matt Geiger,PHI,30,215.9,65,9.7,6,0.6
1353,Mario Bennett,LAC,26,198.12,1,0,2,0
1354,Marty Conlon,LAC,32,208.28,3,0.7,0.7,0
1355,Johnny Newman,NJN,36,200.66,82,10,1.9,0.8
1356,Johnny Taylor,ORL,26,205.74,6,1.8,1,0.2
1357,Jon Barry,SAC,30,195.58,62,8,2.6,2.4
1358,Jonathan Bender,IND,19,210.82,24,2.7,0.9,0.1
1359,Jud Buechler,DET,32,198.12,58,2.2,1.6,0.6
1360,Jumaine Jones,PHI,21,203.2,33,1.7,1.2,0.2
1361,John Wallace,NYK,26,205.74,60,6.5,2.3,0.4
1362,Juwan Howard,WAS,27,205.74,82,14.9,5.7,3
1363,Keith Closs,LAC,24,220.98,57,4.2,3.1,0.4
1364,Keith Van Horn,NJN,24,208.28,80,19.2,8.5,2
1365,Kelvin Cato,HOU,25,210.82,65,8.7,6,0.4
1366,Kendall Gill,NJN,32,195.58,76,13.1,3.7,2.8
1367,Kenny Anderson,BOS,29,185.42,82,14,2.7,5.1
1368,Kenny Thomas,HOU,22,203.2,72,8.3,6.1,1.6
1369,Karl Malone,UTA,36,205.74,82,25.5,9.5,3.7
1370,John Thomas,TOR,24,205.74,55,2.1,1.4,0.2
1371,John Stockton,UTA,38,185.42,82,12.1,2.6,8.6
1372,John Starks,CHI,34,190.5,37,13.9,2.7,4.9
1373,Jeff McInnis,LAC,25,193.04,25,7.2,2.9,3.6
1374,Jelani McCoy,SEA,22,208.28,58,4.3,3.1,0.4
1375,Jermaine O'Neal,POR,21,210.82,70,3.9,3.3,0.3
1376,Jerome Kersey,SAS,38,200.66,72,4.5,3.1,1
1377,Jerome Williams,DET,27,205.74,82,8.4,9.6,0.8
1378,Jerry Stackhouse,DET,25,198.12,82,23.6,3.8,4.5
1379,Jim Jackson,ATL,29,198.12,79,16.7,5,2.9
1380,Jim McIlvaine,NJN,27,215.9,66,2.4,3.5,0.5
1381,Joe Kleine,POR,38,210.82,7,1.6,0.9,0.3
1382,Joe Smith,MIN,24,208.28,78,9.9,6.2,1.1
1383,Joe Stephens,VAN,27,200.66,13,3.2,2.8,0.8
1384,John Amaechi,ORL,29,208.28,80,10.5,3.3,1.2
1385,John Celestand,LAL,23,193.04,16,2.3,0.7,1.3
1386,John Crotty,DET,30,187.96,69,4.7,1.1,1.9
1387,John Salley,LAL,36,210.82,45,1.6,1.4,0.6
1388,Keon Clark,DEN,25,210.82,81,8.6,6.2,0.9
1389,Matt Bullard,HOU,33,208.28,56,6.8,2.5,1.1
1390,Kevin Garnett,MIN,24,210.82,81,22.9,11.8,5
1391,Kevin Ollie,PHI,27,193.04,40,1.8,0.8,1.2
1392,Loy Vaught,DET,32,205.74,43,1.7,2.1,0.3
1393,Luc Longley,PHX,31,218.44,72,6.3,4.5,1.1
1394,Lucious Harris,NJN,29,195.58,77,6.7,2.4,1.3
1395,Malik Rose,SAS,25,200.66,74,6.7,4.5,0.6
1396,Malik Sealy,MIN,30,203.2,82,11.3,4.3,2.4
1397,Marcus Brown,DET,26,190.5,6,1.7,1.2,0.5
1398,Lorenzo Williams,WAS,30,205.74,8,1.8,3.1,0.1
1399,Marcus Camby,NYK,26,210.82,59,10.2,7.8,0.8
1400,Mark Bryant,CLE,35,205.74,75,5.7,4.7,0.8
1401,Mark Davis,GSW,27,200.66,23,6.2,3.7,1.7
1402,Mark Hendrickson,NJN,26,205.74,15,0.9,0.9,0.4
1403,Mark Jackson,IND,35,190.5,81,8.1,3.7,8
1404,Mark Strickland,MIA,29,208.28,58,4.9,2.4,0.4
1405,Mark West,PHX,39,208.28,22,0.7,1.4,0.1
1406,Mario Elie,SAS,36,195.58,79,7.5,3.2,2.4
1407,Lorenzen Wright,ATL,24,210.82,75,6,4.1,0.3
1408,Lindsey Hunter,DET,29,187.96,82,12.7,3,4
1409,Lazaro Borrell,SEA,27,203.2,17,3.6,2.4,0.6
1410,Kevin Willis,TOR,37,213.36,79,7.6,6.1,0.6
1411,Khalid Reeves,CHI,27,190.5,3,3.7,1.3,4.3
1412,Kiwane Garris,ORL,25,187.96,3,1.3,0.3,0.7
1413,Kobe Bryant,LAL,21,200.66,66,22.5,6.3,4.9
1414,Kornel David,CLE,28,205.74,32,5.6,2.5,0.5
1415,Kurt Thomas,NYK,27,205.74,80,8,6.3,1
1416,LaPhonso Ellis,ATL,30,203.2,58,8.4,5,1
1417,Lamar Odom,LAC,20,208.28,76,16.6,7.8,4.2
1418,Lamond Murray,CLE,27,200.66,74,15.9,5.7,1.8
1419,Lari Ketner,CLE,23,208.28,22,1.5,1.5,0
1420,Laron Profit,WAS,22,195.58,33,1.5,0.8,0.8
1421,Larry Hughes,GSW,21,195.58,82,15,4.3,2.5
1422,Larry Johnson,NYK,31,200.66,70,10.7,5.4,2.5
1423,Latrell Sprewell,NYK,29,195.58,82,18.6,4.3,4
1424,Lawrence Funderburke,SAC,29,205.74,75,6.4,3.1,0.4
1425,Kevin Johnson,PHX,34,185.42,6,6.7,2.7,4
1426,Kerry Kittles,NJN,26,195.58,62,13,3.6,2.3
1427,Jermaine Jackson,DET,24,195.58,7,1,1.6,0.6
1428,Patrick Ewing,NYK,37,213.36,62,15,9.7,0.9
1429,Tony Battie,BOS,24,210.82,82,6.6,5,0.8
1430,Toni Kukoc,PHI,31,210.82,56,14.8,4.9,4.7
1431,Tom Hammonds,MIN,33,205.74,56,2.1,1.8,0.2
1432,Todd MacCulloch,PHI,24,213.36,56,3.7,2.6,0.2
1433,Todd Fuller,CHH,25,210.82,41,3.3,2.7,0.1
1434,Todd Day,PHX,30,198.12,58,6.8,2.2,1.1
1435,Toby Bailey,PHX,24,198.12,46,3.5,1.6,0.7
1436,Tim Young,GSW,24,218.44,25,2.2,1.4,0.2
1437,Tim Thomas,MIL,23,208.28,80,11.8,4.2,1.4
1438,Tim Legler,GSW,33,193.04,23,3.3,1,1
1439,Tim James,MIA,23,200.66,4,2.8,1,0.5
1440,Tim Hardaway,MIA,33,182.88,52,13.4,2.9,7.4
1441,Tim Duncan,SAS,24,213.36,74,23.2,12.4,3.2
1442,Thomas Hamilton,HOU,25,218.44,22,3.7,4.1,0.7
1443,Theo Ratliff,PHI,27,208.28,57,11.9,7.6,0.6
1444,Terry Porter,SAS,37,190.5,68,9.4,2.8,3.3
1445,Terry Mills,DET,32,208.28,82,6.7,4.8,1
1446,Terry Cummings,GSW,39,205.74,22,8.4,4.9,1
1447,Terrell Brandon,MIN,30,180.34,71,17.1,3.4,8.9
1448,Tariq Abdul-Wahad,DEN,25,198.12,61,11.4,4.8,1.6
1449,Steven Smith,POR,31,203.2,82,14.9,3.8,2.5
1450,Steve Nash,DAL,26,190.5,56,8.6,2.2,4.9
1451,Steve Kerr,SAS,34,190.5,32,2.8,0.6,0.4
1452,Steve Francis,HOU,23,190.5,77,18,5.3,6.6
1453,Stephon Marbury,NJN,23,187.96,74,22.2,3.2,8.4
1454,Stanley Roberts,PHI,30,213.36,5,2,3,0.6
1455,Stacey Augmon,POR,31,203.2,59,3.4,2,0.9
1456,Tony Delk,SAC,26,187.96,46,6.4,1.9,1.2
1457,Sherman Douglas,NJN,33,185.42,20,6,1.5,1.7
1458,Tony Farmer,GSW,30,205.74,74,6.3,4,1
1459,Tracy McGrady,TOR,21,203.2,79,15.4,6.3,3.3
1460,Jeff Foster,IND,23,210.82,19,2.3,1.7,0.3
1461,Zan Tabak,IND,30,213.36,18,2.1,1.8,0.2
1462,William Avery,MIN,20,187.96,59,2.6,0.7,1.5
1463,Will Perdue,CHI,34,213.36,67,2.5,3.9,0.9
1464,Wesley Person,CLE,29,198.12,79,9.2,3.4,1.8
1465,Wayne Turner,BOS,24,187.96,3,1.3,1,1.7
1466,Walter McCarty,BOS,26,208.28,61,3.8,1.8,1.1
1467,Walt Williams,HOU,30,203.2,76,10.9,4,2.1
1468,Wally Szczerbiak,MIN,23,200.66,73,11.6,3.7,2.8
1469,Voshon Lenard,MIA,27,193.04,53,11.9,2.9,2.6
1470,Vonteego Cummings,GSW,24,190.5,75,9.4,2.5,3.3
1471,Vladimir Stepania,SEA,24,213.36,30,2.5,1.6,0.1
1472,Vlade Divac,SAC,32,215.9,82,12.3,8,3
1473,Vitaly Potapenko,BOS,25,208.28,79,9.2,6.3,1
1474,Vinny Del Negro,MIL,33,193.04,67,5.2,1.6,2.4
1475,Vince Carter,TOR,23,200.66,82,25.7,5.8,3.9
1476,Vin Baker,SEA,28,210.82,79,16.6,7.7,1.9
1477,Vernon Maxwell,SEA,34,193.04,47,10.9,1.7,1.6
1478,Tyronn Lue,LAL,23,182.88,8,6,1.5,2.1
1479,Tyrone Nesby,LAC,24,198.12,73,13.3,3.8,1.7
1480,Tyrone Hill,PHI,32,205.74,68,12,9.2,0.8
1481,Tyrone Corbin,SAC,37,198.12,54,4.1,3.1,1.1
1482,Troy Hudson,LAC,24,185.42,62,8.8,2.4,3.9
1483,Travis Knight,LAL,25,213.36,63,1.7,2,0.4
1484,Travis Best,IND,27,180.34,82,8.9,1.7,3.3
1485,Trajan Langdon,CLE,24,190.5,10,4.9,1.5,1.1
1486,Tracy Murray,WAS,28,200.66,80,10.1,3.4,0.9
1487,Tony Massenburg,HOU,32,205.74,10,4.6,2.7,0.3
1488,Shawn Marion,PHX,22,200.66,51,10.2,6.5,1.4
1489,Shawn Kemp,CLE,30,208.28,82,17.8,8.8,1.7
1490,Shawn Bradley,DAL,28,228.6,77,8.4,6.5,0.8
1491,Robert Pack,DAL,31,187.96,29,8.9,1.4,5.8
1492,Robert Horry,LAL,29,208.28,76,5.7,4.8,1.6
1493,Rik Smits,IND,33,223.52,79,12.9,5.1,1.1
1494,Ricky Davis,CHH,20,200.66,48,4.7,1.7,1.3
1495,Rick Hughes,DAL,26,205.74,21,3.9,2.3,0.4
1496,Rick Fox,LAL,30,200.66,82,6.5,2.4,1.7
1497,Rick Brunson,NYK,28,193.04,37,1.9,0.7,1.3
1498,Richard Hamilton,WAS,22,198.12,71,9,1.8,1.5
1499,Rex Walters,MIA,30,193.04,33,2.8,1.1,2
1500,Rex Chapman,PHX,32,193.04,53,6.6,1.5,1.2
1501,Reggie Miller,IND,34,200.66,81,18.1,3,2.3
1502,Reggie Jordan,WAS,32,193.04,36,1.1,1.1,0.9
1503,Ray Allen,MIL,24,195.58,82,22.1,4.4,3.8
1504,Rasho Nesterovic,MIN,24,213.36,82,5.7,4.6,1.1
1505,Rasheed Wallace,POR,25,210.82,81,16.4,7,1.8
1506,Rashard Lewis,SEA,20,208.28,82,8.2,4.1,0.9
1507,Randy Livingston,PHX,25,193.04,79,4.8,1.6,2.2
1508,Randy Brown,CHI,32,187.96,59,6.4,2.4,3.4
1509,Randell Jackson,DAL,24,210.82,1,0,0,0
1510,Rafer Alston,MIL,23,187.96,27,2.2,0.9,2.6
1511,Raef LaFrentz,DEN,24,210.82,81,12.4,7.9,1.2
1512,Quincy Lewis,UTA,23,200.66,74,3.8,1.5,0.5
1513,Popeye Jones,DEN,30,203.2,40,2.6,2.6,0.5
1514,Pete Chilcutt,LAC,31,208.28,56,2.1,2.3,0.5
1515,Pervis Ellison,BOS,33,205.74,30,1.8,2.2,0.4
1516,Peja Stojakovic,SAC,23,205.74,74,11.9,3.7,1.4
1517,Paul Pierce,BOS,22,200.66,73,19.5,5.4,3
1518,Robert Traylor,MIL,23,203.2,44,3.6,2.6,0.5
1519,Rod Strickland,WAS,33,190.5,69,12.6,3.8,7.5
1520,Rodney Buford,MIA,22,195.58,34,4.3,1.4,0.6
1521,Rodney Rogers,PHX,29,200.66,82,13.8,5.5,2.1
1522,Shareef Abdur-Rahim,VAN,23,205.74,82,20.3,10.1,3.3
1523,Shaquille O'Neal,LAL,28,215.9,79,29.7,13.6,3.8
1524,Shandon Anderson,HOU,26,198.12,82,12.3,4.7,2.9
1525,Shammond Williams,SEA,25,185.42,43,5.2,1.2,1.8
1526,Sean Rooks,DAL,30,208.28,71,4.4,3.5,1
1527,Sean Marks,TOR,24,208.28,5,1.6,0.4,0
1528,Sean Elliott,SAS,32,203.2,19,6,2.5,1.5
1529,Scottie Pippen,POR,34,200.66,82,12.5,6.3,5
1530,Scott Williams,MIL,32,208.28,68,7.6,6.6,0.4
1531,Scott Padgett,UTA,24,205.74,47,2.6,1.9,0.5
1532,Scott Burrell,NJN,29,200.66,74,6.1,3.5,1
1533,Scot Pollard,SAC,25,210.82,76,5.4,5.3,0.6
1534,Samaki Walker,SAS,24,205.74,71,5.1,3.8,0.5
1535,Pat Garrity,ORL,23,205.74,82,8.2,2.6,0.7
1536,Sam Perkins,IND,39,205.74,81,6.6,3.6,0.8
1537,Sam Mack,GSW,30,200.66,23,5,1.7,1
1538,Sam Jacobson,GSW,24,193.04,52,4.9,1.4,0.6
1539,Sam Cassell,MIL,30,190.5,81,18.6,3.7,9
1540,Ryan Stack,CLE,24,210.82,25,2.1,1.8,0.2
1541,Ryan Robertson,SAC,23,195.58,1,5,0,0
1542,Ryan Bowen,DEN,24,200.66,52,2.5,2.2,0.4
1543,Rusty LaRue,CHI,26,190.5,4,9.3,2.5,2.8
1544,Ruben Patterson,SEA,24,198.12,81,11.6,5.4,1.6
1545,Roy Rogers,DEN,26,208.28,40,2.2,2,0.2
1546,Roshown McLeod,ATL,24,203.2,44,7.2,3.1,1.2
1547,Ron Mercer,ORL,24,200.66,68,16.9,3.7,2.3
1548,Ron Harper,LAL,36,198.12,80,7,4.2,3.4
1549,Rodrick Rhodes,DAL,26,198.12,1,0,1,0
